"RegionName","Year","Month","Portion"
"94804",2009,8,0.620647
"94606",2009,8,0.402947
"94134",2009,8,0.291552
"94561",2009,8,0.577933
"94566",2009,8,0.075385
"94044",2009,8,0.140556
"94578",2009,8,0.444129
"94523",2009,8,0.347636
"95120",2009,8,0.040303
"94401",2009,8,0.317531
"95128",2009,8,0.160527
"95121",2009,8,0.498279
"94132",2009,8,0.279667
"94521",2009,8,0.453989
"94404",2009,8,0.046978
"95070",2009,8,0.042424
"94621",2009,8,0.826692
"94061",2009,8,0.115341
"94582",2009,8,0.116352
"94526",2009,8,0.060447
"94531",2009,8,0.632448
"94040",2009,8,0.029879
"94114",2009,8,0.017222
"95117",2009,8,0.132763
"94801",2009,8,0.791272
"95050",2009,8,0.103415
"94611",2009,8,0.102605
"94063",2009,8,0.445076
"94603",2009,8,0.771971
"94545",2009,8,0.492323
"94598",2009,8,0.08114
"94580",2009,8,0.418109
"94941",2009,8,0.0775
"95131",2009,8,0.239947
"94002",2009,8,0.110698
"94608",2009,8,0.305002
"94062",2009,8,0.042361
"95133",2009,8,0.390274
"94610",2009,8,0.190177
"94530",2009,8,0.137521
"94602",2009,8,0.243661
"94402",2009,8,0.02981
"94549",2009,8,0.086667
"94903",2009,8,0.191516
"94043",2009,8,0.014632
"94131",2009,8,0.014817
"94070",2009,8,0.066436
"94518",2009,8,0.412025
"94947",2009,8,0.189426
"95054",2009,8,0.260455
"94607",2009,8,0.590152
"94619",2009,8,0.50625
"94107",2009,8,0.088618
"94103",2009,8,0.109473
"94085",2009,8,0.265404
"95032",2009,8,0.043011
"94579",2009,8,0.341989
"95135",2009,8,0.140079
"94547",2009,8,0.594629
"95118",2009,8,0.11744
"94030",2009,8,0.034688
"94519",2009,8,0.373551
"94564",2009,8,0.612729
"94596",2009,8,0.255988
"94803",2009,8,0.645447
"94588",2009,8,0.059949
"94506",2009,8,0.10697
"94022",2009,8,0.022727
"95138",2009,8,0.245333
"94089",2009,8,0.198413
"95126",2009,8,0.131926
"95110",2009,8,0.422026
"94502",2009,8,0.031667
"94595",2009,8,0.026736
"94706",2009,8,0.054278
"94805",2009,8,0.502083
"94702",2009,8,0.236051
"94960",2009,8,0.041666
"94563",2009,8,0.046795
"94945",2009,8,0.343004
"94552",2009,8,0.098215
"94618",2009,8,0.030435
"94920",2009,8,0.050961
"94965",2009,8,0.181818
"94507",2009,8,0.140513
"94597",2009,8,0.181111
"94949",2009,8,0.179664
"94542",2009,8,0.333333
"94517",2009,8,0.110454
"94019",2009,8,0.0947
"95130",2009,8,0.145065
"94505",2009,8,0.532058
"94105",2009,8,0.02042
"94565",2009,9,0.582632
"94112",2009,9,0.241363
"94544",2009,9,0.526799
"94110",2009,9,0.053485
"94587",2009,9,0.341507
"95035",2009,9,0.203221
"94538",2009,9,0.309039
"94501",2009,9,0.092766
"94536",2009,9,0.286588
"94513",2009,9,0.522092
"95111",2009,9,0.508569
"95127",2009,9,0.506856
"94806",2009,9,0.600575
"95123",2009,9,0.445718
"94509",2009,9,0.627203
"94122",2009,9,0.070909
"94080",2009,9,0.214195
"95122",2009,9,0.533273
"94015",2009,9,0.365504
"94541",2009,9,0.501211
"95020",2009,9,0.534497
"94087",2009,9,0.061432
"95051",2009,9,0.23933
"95125",2009,9,0.12446
"94539",2009,9,0.036128
"95112",2009,9,0.371969
"95014",2009,9,0.012634
"95116",2009,9,0.606137
"95148",2009,9,0.365242
"94601",2009,9,0.679533
"94014",2009,9,0.285213
"94550",2009,9,0.221447
"94553",2009,9,0.392492
"95136",2009,9,0.367483
"94901",2009,9,0.160988
"95037",2009,9,0.279693
"94086",2009,9,0.127619
"94025",2009,9,0.017758
"94560",2009,9,0.494043
"95008",2009,9,0.121067
"94577",2009,9,0.475025
"94303",2009,9,0.388116
"94116",2009,9,0.0875
"94546",2009,9,0.321241
"95124",2009,9,0.108905
"94551",2009,9,0.322059
"95129",2009,9,0.084391
"94605",2009,9,0.508298
"94066",2009,9,0.191661
"94403",2009,9,0.043875
"94520",2009,9,0.694665
"95132",2009,9,0.231725
"94117",2009,9,0.056335
"94583",2009,9,0.218377
"94124",2009,9,0.39988
"94568",2009,9,0.16902
"94555",2009,9,0.160329
"94804",2009,9,0.55779
"94134",2009,9,0.264153
"94561",2009,9,0.449868
"94566",2009,9,0.076615
"94044",2009,9,0.137849
"94578",2009,9,0.440995
"94523",2009,9,0.258181
"95120",2009,9,0.048526
"94401",2009,9,0.260076
"95128",2009,9,0.156963
"95121",2009,9,0.414448
"94132",2009,9,0.334357
"94521",2009,9,0.484249
"94404",2009,9,0.047464
"95070",2009,9,0.058722
"94621",2009,9,0.751759
"94061",2009,9,0.118304
"94582",2009,9,0.120833
"94526",2009,9,0.057726
"94531",2009,9,0.599282
"94040",2009,9,0.035947
"95117",2009,9,0.161184
"94801",2009,9,0.711305
"95050",2009,9,0.117159
"94611",2009,9,0.092905
"94063",2009,9,0.410766
"94603",2009,9,0.734901
"94545",2009,9,0.422577
"94598",2009,9,0.050906
"94580",2009,9,0.383028
"94941",2009,9,0.064332
"95131",2009,9,0.214052
"94002",2009,9,0.107346
"94608",2009,9,0.264248
"94062",2009,9,0.08125
"95133",2009,9,0.350251
"94610",2009,9,0.173115
"94530",2009,9,0.22311
"94602",2009,9,0.247446
"94402",2009,9,0.079167
"94549",2009,9,0.162307
"94903",2009,9,0.220726
"94043",2009,9,0.023285
"94131",2009,9,0.042516
"94070",2009,9,0.055054
"94518",2009,9,0.438853
"94947",2009,9,0.219794
"95054",2009,9,0.257091
"94607",2009,9,0.525679
"94619",2009,9,0.392917
"94107",2009,9,0.106798
"94103",2009,9,0.103421
"94085",2009,9,0.155556
"95032",2009,9,0.023333
"94579",2009,9,0.36875
"95135",2009,9,0.122081
"94547",2009,9,0.56098
"95118",2009,9,0.183021
"94030",2009,9,0.015172
"94024",2009,9,0.025
"94519",2009,9,0.360151
"94564",2009,9,0.490471
"94596",2009,9,0.26503
"94803",2009,9,0.537018
"94588",2009,9,0.080436
"94506",2009,9,0.093715
"94022",2009,9,0.031534
"95138",2009,9,0.289875
"94089",2009,9,0.245513
"95126",2009,9,0.113196
"95110",2009,9,0.309409
"94595",2009,9,0.023133
"94706",2009,9,0.205128
"94702",2009,9,0.180682
"94563",2009,9,0.06735
"94945",2009,9,0.286111
"94552",2009,9,0.178572
"94618",2009,9,0.095673
"94965",2009,9,0.136364
"94708",2009,9,0.144231
"94597",2009,9,0.170278
"94949",2009,9,0.141765
"94542",2009,9,0.275735
"94065",2009,9,0.05
"94019",2009,9,0.067752
"95130",2009,9,0.077273
"94505",2009,9,0.585497
"95119",2009,9,0.416667
"94027",2009,9,0.064102
"94105",2009,9,0.029276
"94565",2009,10,0.565808
"94112",2009,10,0.218774
"94544",2009,10,0.461584
"94110",2009,10,0.042502
"94587",2009,10,0.375693
"95035",2009,10,0.194555
"94538",2009,10,0.27944
"94501",2009,10,0.114821
"94536",2009,10,0.306391
"94513",2009,10,0.502174
"95111",2009,10,0.482053
"95127",2009,10,0.499251
"94806",2009,10,0.582127
"95123",2009,10,0.372022
"94509",2009,10,0.594318
"94122",2009,10,0.03981
"94080",2009,10,0.177673
"95122",2009,10,0.52035
"94109",2009,10,0.019231
"94015",2009,10,0.333214
"94541",2009,10,0.458257
"95020",2009,10,0.491071
"94087",2009,10,0.046368
"95051",2009,10,0.193823
"95125",2009,10,0.193629
"94539",2009,10,0.040873
"95112",2009,10,0.279869
